Bus,Nominal_kV,Voltage_pu,Voltage_kV,Violation
7.ElmBay\T7.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
8.ElmBay\T8.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\9.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\T9.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\T9.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
Bay.ElmBay\TBay.1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
Bay.ElmBay\TBay.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
NW_02.ElmSubstat\BB1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
NW_02.ElmSubstat\BB2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
1.ElmBay\1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
1.ElmBay\T1.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
1.ElmBay\T1.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
10.ElmBay\10.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
10.ElmBay\T10.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
10.ElmBay\T10.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
11.ElmBay\11.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
11.ElmBay\T11.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
11.ElmBay\T11.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
2.ElmBay\2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\3.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\4.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\T4.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\T4.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
5.ElmBay\5.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
5.ElmBay\T5.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
5.ElmBay\T5.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
6.ElmBay\6.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\7.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\T7.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\T7.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
8.ElmBay\8.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
8.ElmBay\T8.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
8.ElmBay\T8.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
9.ElmBay\9.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
9.ElmBay\T9.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
9.ElmBay\T9.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
Bay.ElmBay\TBay.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
Bay.ElmBay\TBay.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
NW_03.ElmSubstat\BB1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
NW_03.ElmSubstat\BB2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
L-Bay.ElmBay\TL-Bay.1.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L-Bay.ElmBay\TL-Bay.2.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L1.ElmBay\L1.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L1.ElmBay\TL1.1.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L1.ElmBay\TL1.2.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L2.ElmBay\L2.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L2.ElmBay\TL2.1.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L2.ElmBay\TL2.2.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L3.ElmBay\L3.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L3.ElmBay\TL3.1.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L3.ElmBay\TL3.2.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
L4.ElmBay\L4.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L4.ElmBay\TL4.1.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L4.ElmBay\TL4.2.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L5.ElmBay\L5.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L5.ElmBay\TL5.1.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
L5.ElmBay\TL5.2.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
R-Bay.ElmBay\TR-Bay.1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R-Bay.ElmBay\TR-Bay.2.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R1.ElmBay\R1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R1.ElmBay\TR1.1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R1.ElmBay\TR1.2.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R2.ElmBay\R2.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R2.ElmBay\TR2.1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R2.ElmBay\TR2.2.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R3.ElmBay\R3.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R3.ElmBay\TR3.1.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R3.ElmBay\TR3.2.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R4.ElmBay\R4.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R4.ElmBay\TR4.1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R4.ElmBay\TR4.2.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
R5.ElmBay\R5.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R5.ElmBay\TR5.1.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
R5.ElmBay\TR5.2.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
SE_01.ElmSubstat\BB1.1.ElmTerm,400.0,1.0011378201085521,400.45512804342087,No
SE_01.ElmSubstat\BB1.2.ElmTerm,400.0,1.0011378199172736,400.45512796690946,No
SE_01.ElmSubstat\BB2.1.ElmTerm,400.0,1.0011378199421324,400.45512797685296,No
SE_01.ElmSubstat\BB2.2.ElmTerm,400.0,1.0011378196080256,400.4551278432102,No
SE_01_PP.ElmSubstat\LV_SE_PV1.ElmTerm,16.5,0.9533917448603115,15.73096379019514,No
SE_01_PP.ElmSubstat\SE_Term_G1.ElmTerm,16.5,1.0099999905016654,16.66499984327748,No
SE_01_PP.ElmSubstat\SE_Term_G2.ElmTerm,16.5,1.0099999905016654,16.66499984327748,No
1.ElmBay\1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
1.ElmBay\T1.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
1.ElmBay\T1.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
2.ElmBay\2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
2.ElmBay\T2.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
2.ElmBay\T2.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
3.ElmBay\3.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
3.ElmBay\T3.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
3.ElmBay\T3.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
4.ElmBay\4.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
4.ElmBay\T4.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
4.ElmBay\T4.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
5.ElmBay\5.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
5.ElmBay\T5.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
5.ElmBay\T5.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
6.ElmBay\6.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
6.ElmBay\T6.1.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
6.ElmBay\T6.2.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
SE_02.ElmSubstat\BB.ElmTerm,400.0,0.9998782632541452,399.95130530165807,No
SE_02_PP.ElmSubstat\SE_Term_G5.ElmTerm,18.0,1.0123614410245965,18.222505938442737,No
SE_02_PP.ElmSubstat\SE_Term_G6.ElmTerm,18.0,1.025340434056626,18.456127813019265,No
L1.ElmBay\L1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L1.ElmBay\TL1.1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L1.ElmBay\TL1.2.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L2.ElmBay\L2.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L2.ElmBay\TL2.1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L2.ElmBay\TL2.2.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L3.ElmBay\L3.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L3.ElmBay\TL3.1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L3.ElmBay\TL3.2.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L4.ElmBay\L4.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L4.ElmBay\TL4.1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
L4.ElmBay\TL4.2.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
R1.ElmBay\R1.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R1.ElmBay\TR1.1.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R1.ElmBay\TR1.2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R2.ElmBay\R2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R2.ElmBay\TR2.1.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R2.ElmBay\TR2.2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R3.ElmBay\R3.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R3.ElmBay\TR3.1.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R3.ElmBay\TR3.2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R4.ElmBay\R4.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R4.ElmBay\TR4.1.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
R4.ElmBay\TR4.2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
SE_03.ElmSubstat\BB1.ElmTerm,400.0,1.0056408931240843,402.2563572496337,No
SE_03.ElmSubstat\BB2.ElmTerm,400.0,1.0056408933485665,402.25635733942664,No
1.ElmBay\1.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
1.ElmBay\T1.1.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
1.ElmBay\T1.2.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
10.ElmBay\10.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
10.ElmBay\T10.1.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
10.ElmBay\T10.2.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
2.ElmBay\2.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
3.ElmBay\3.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
4.ElmBay\4.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
4.ElmBay\T4.1.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
4.ElmBay\T4.2.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
5.ElmBay\5.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
5.ElmBay\T5.1.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
5.ElmBay\T5.2.ElmTerm,400.0,1.0064448356874944,402.5779342749978,No
6.ElmBay\6.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
7.ElmBay\7.ElmTerm,400.0,1.0064448353474615,402.57793413898463,No
